	genre
190	chanson
191	pop
192	folk
193	pop
194	pop
195	latin
196	edm
197	pop
198	techno
199	dance
200	hip hop
201	latin
202	jazz
203	disco
204	edm
205	rock
206	hip hop
207	hip hop
208	pop
209	hip hop
210	rock
211	rock
212	pop
213	techno
214	hip hop
215	rock
216	hip hop
217	hip hop
218	rock
219	pop
220	disco
221	punk
222	electro
223	rock
224	hip hop
225	jazz
226	pop
227	rock
228	edm
229	hip hop
230	rock
231	pop
232	pop
233	dance
234	pop
235	hip hop
236	pop
237	rock
238	jazz
239	dance
240	reggae
241	hip hop
242	rock
243	punk
244	hip hop
245	pop
246	pop
247	rock
248	pop
249	hip hop
250	metal
251	rock
252	rock
253	pop
254	pop
255	folk
256	pop
257	punk
258	metal
259	jazz
260	rock
261	edm
262	classical
263	hip hop
264	pop
265	hip hop
266	rock
267	pop
268	jazz
269	hip hop
270	hip hop
271	hip hop
272	latin
273	rock
274	pop
275	rock
276	edm
277	hip hop
278	country
279	metal
280	rock
281	techno
282	edm
283	rock
284	hip hop
285	country
286	rock
287	rock
288	pop
289	rock
290	classical
291	pop
292	electro
293	jazz
294	punk
295	edm
296	hip hop
297	reggae
298	rock
299	metal
300	pop
301	jazz
302	rock
303	rock
304	rock
305	pop
306	techno
307	jazz
308	pop
309	hip hop
310	rock
311	dance
312	pop
313	jazz
314	jazz
315	techno
316	jazz
317	jazz
318	rock
319	classical
320	punk
321	pop
322	pop
323	hip hop
324	jazz
325	jazz
326	rock
327	country
328	hip hop
329	rock
330	hip hop
331	rock
332	pop
333	rock
334	hip hop
335	pop
336	punk
337	hip hop
338	punk
339	rock
340	metal
341	rock
342	rock
343	hip hop
344	country
345	pop
346	latin
347	rap
348	jazz
349	jazz
350	hip hop
351	electro
352	rock
353	pop
354	classical
355	electro
356	rock
357	rock
358	hip hop
359	hip hop
360	pop
361	rock
362	hip hop
363	rock
364	pop
365	techno
366	jazz
367	hip hop
368	rock
369	hip hop
370	edm
371	pop
372	hip hop
373	country
374	dance
375	pop
376	pop
377	hip hop
378	rock
379	punk
380	classical
381	disco
382	electro
383	hip hop
384	hip hop
385	jazz
386	rap
387	pop
388	pop
389	jazz
390	jazz
391	hip hop
392	disco
393	disco
394	rock
395	hip hop
396	hip hop
397	pop
398	hip hop
399	pop
400	punk
401	hip hop
402	country
403	pop
404	edm
405	hip hop
406	techno
407	pop
408	pop
409	edm
410	rock
411	pop
412	techno
413	rock
414	rock
415	edm
416	pop
417	pop
418	rock
419	folk
420	metal
421	pop
422	jazz
423	pop
424	pop
425	hip hop
426	hip hop
427	rock
428	country
429	hip hop
430	pop
431	rap
432	country
433	hip hop
434	pop
435	pop
436	punk
437	metal
438	latin
439	hip hop
440	country
441	folk
442	punk
443	hip hop
444	pop
445	pop
446	pop
447	pop
448	rock
449	hip hop
450	dance
451	country
452	hip hop
453	metal
454	pop
455	jazz
456	pop
457	hip hop
458	jazz
459	pop
460	hip hop
461	metal
462	dance
463	punk
464	pop
465	pop
466	rock
467	pop
468	rock
469	pop
470	pop
471	country
472	pop
473	pop
474	hip hop
475	country
476	hip hop
477	rock
478	pop
479	rock
480	punk
481	hip hop
482	pop
483	punk
484	hip hop
485	pop
486	rock
487	rock
488	hip hop
489	dance
490	rock
491	electro
492	punk
493	electro
494	techno
495	hip hop
496	rock
497	jazz
498	hip hop
499	edm
500	pop
501	techno
502	pop
503	pop
504	rock
505	rock
506	rock
507	edm
508	rock
509	rock
510	hip hop
511	pop
512	country
513	pop
514	hip hop
515	hip hop
516	pop
517	pop
518	rock
519	pop
520	jazz
521	pop
522	hip hop
523	rock
524	rock
525	hip hop
526	pop
527	pop
528	rock
529	jazz
530	hip hop
531	pop
532	jazz
533	rock
534	edm
535	edm
536	jazz
537	edm
538	rock
539	pop
540	rock
541	dance
542	dance
543	jazz
544	rock
545	jazz
546	hip hop
547	pop
548	hip hop
549	edm
550	hip hop
551	rock
552	hip hop
553	hip hop
554	reggae
555	edm
556	pop
557	rock
558	edm
559	edm
560	dance
561	edm
562	pop
563	pop
564	pop
565	hip hop
566	hip hop
567	jazz
568	classical
569	pop
570	hip hop
571	edm
572	rock
573	rock
574	jazz
575	metal
576	pop
577	rock
578	edm
579	pop
580	hip hop
581	disco
582	pop
583	hip hop
584	latin
585	pop
586	dance
587	jazz
588	latin
589	hip hop
590	pop
591	hip hop
592	rock
593	rap
594	disco
595	edm
596	country
597	edm
598	punk
599	metal
600	rock
601	electro
602	hip hop
603	rock
604	pop
605	pop
606	country
607	pop
608	rock
609	rap
610	metal
611	pop
612	rock
613	rock
614	country
615	country
616	pop
617	pop
618	rap
619	jazz
620	pop
621	techno
622	dance
623	hip hop
624	rock
625	jazz
626	jazz
627	hip hop
628	jazz
629	pop
630	pop
631	hip hop
632	rock
633	pop
634	rock
635	pop
636	pop
637	punk
638	jazz
639	pop
640	pop
641	techno
642	pop
643	pop
644	dance
645	hip hop
646	hip hop
647	metal
648	hip hop
649	techno
650	punk
651	hip hop
652	dance
653	jazz
654	pop
655	electro
656	pop
657	jazz
658	rock
659	hip hop
660	rap
661	hip hop
662	pop
663	hip hop
664	hip hop
665	hip hop
666	jazz
667	pop
668	rock
669	rock
670	country
671	dance
672	rock
673	folk
674	rock
675	rock
676	rock
677	jazz
678	pop
679	rock
680	rock
681	hip hop
682	rock
683	pop
684	rock
685	techno
686	pop
687	pop
688	dance
689	classical
690	hip hop
691	pop
692	rock
693	electro
694	pop
695	hip hop
696	edm
697	hip hop
698	pop
699	jazz
700	disco
701	dance
702	rock
703	rock
704	dance
705	techno
706	techno
707	edm
708	pop
709	rock
710	pop
711	hip hop
712	pop
713	rap
714	rock
715	classical
716	pop
717	metal
718	hip hop
719	hip hop
720	pop
721	techno
722	hip hop
723	jazz
724	jazz
725	pop
726	folk
727	pop
728	electro
729	pop
730	hip hop
731	hip hop
732	rock
733	dance
734	jazz
735	rock
736	rock
737	pop
738	hip hop
739	rock
740	rap
741	disco
742	pop
743	electro
744	metal
745	disco
746	rock
747	pop
748	country
749	pop
750	rock
751	pop
752	dance
753	classical
754	pop
755	reggae
756	rock
757	punk
758	rock
759	classical
760	pop
761	hip hop
762	hip hop
763	pop
764	edm
765	rock
766	rock
767	pop
768	rock
769	rock
770	country
771	pop
772	hip hop
773	jazz
774	rap
775	jazz
776	pop
777	rock
778	folk
779	edm
780	rock
781	pop
782	techno
783	folk
784	r&b
785	pop
786	rock
787	hip hop
788	rock
789	jazz
790	hip hop
791	punk
792	hip hop
793	edm
794	edm
795	hip hop
796	punk
797	dance
798	country
799	jazz
800	hip hop
801	pop
802	hip hop
803	pop
804	rock
805	pop
806	hip hop
807	punk
808	punk
809	pop
810	dance
811	edm
812	edm
813	pop
814	pop
815	pop
816	hip hop
817	electro
818	country
819	pop
820	pop
821	rap
822	rap
823	hip hop
824	techno
825	electro
826	dance
827	rock
828	dance
829	hip hop
830	rock
831	pop
832	classical
833	pop
834	electro
835	hip hop
836	edm
837	jazz
838	hip hop
839	pop
840	country
841	dance
842	pop
843	hip hop
844	reggae
845	latin
846	hip hop
847	rock
848	hip hop
849	edm
850	rock
851	classical
852	jazz
853	dance
854	pop
855	dance
856	pop
857	hip hop
858	electro
859	pop
860	rap
861	rock
862	rock
863	pop
864	hip hop
865	metal
866	country
867	folk
868	hip hop
869	rock
870	hip hop
871	hip hop
872	edm
873	pop
874	dance
875	rock
876	hip hop
877	punk
878	jazz
879	pop
880	pop
881	pop
882	rock
883	pop
884	rock
885	pop
886	rock
887	metal
888	pop
889	jazz
890	r&b
891	edm
892	hip hop
893	rock
894	disco
895	country
896	hip hop
897	hip hop
898	edm
899	rap
900	hip hop
901	pop
902	electro
903	edm
904	techno
905	pop
906	hip hop
907	jazz
908	edm
909	hip hop
910	jazz
911	edm
912	pop
913	dance
914	country
915	edm
916	edm
917	dance
918	pop
919	pop
920	dance
921	pop
922	hip hop
923	rock
924	punk
925	edm
926	pop
927	rock
928	hip hop
929	pop
930	rock
931	jazz
932	rock
933	rock
934	jazz
935	pop
936	dance
937	disco
938	pop
939	pop
940	soul
941	hip hop
942	jazz
943	rock
944	pop
945	classical
946	jazz
947	hip hop
948	pop
949	reggae
950	rock
951	hip hop
952	edm
953	pop
954	latin
955	hip hop
956	pop
957	rock
958	edm
959	hip hop
960	pop
961	hip hop
962	rock
963	jazz
964	hip hop
965	pop
966	rock
967	folk
968	hip hop
969	hip hop
970	metal
971	country
972	metal
973	rock
974	hip hop
975	hip hop
976	techno
977	hip hop
978	pop
979	pop
980	jazz
981	rock
982	rap
983	rock
984	hip hop
985	hip hop
986	pop
987	folk
988	rock
989	pop
990	jazz
991	edm
992	rock
993	rock
994	rock
995	pop
996	rock
997	rock
998	country
999	punk
1000	electro
1001	electro
1002	pop
1003	dance
1004	jazz
1005	pop
1006	rock
1007	electro
1008	jazz
1009	rock
1010	hip hop
1011	hip hop
1012	pop
1013	hip hop
1014	hip hop
1015	punk
1016	rock
1017	hip hop
1018	hip hop
1019	latin
1020	jazz
1021	hip hop
1022	disco
1023	jazz
1024	pop
1025	jazz
1026	pop
1027	electro
1028	rock
1029	country
1030	rock
1031	hip hop
1032	pop
1033	folk
1034	metal
1035	techno
1036	electro
1037	pop
1038	dance
1039	jazz
1040	rock
1041	hip hop
1042	hip hop
1043	pop
1044	pop
1045	pop
1046	jazz
1047	hip hop
1048	pop
1049	punk
1050	pop
1051	metal
1052	hip hop
1053	metal
1054	classical
1055	metal
1056	dance
1057	rock
1058	reggae
1059	rock
1060	jazz
1061	hip hop
1062	hip hop
1063	rock
1064	pop
1065	country
1066	rock
1067	edm
1068	edm
1069	hip hop
1070	techno
1071	rock
1072	pop
1073	pop
1074	pop
1075	edm
1076	pop
1077	hip hop
1078	hip hop
1079	jazz
1080	rock
1081	hip hop
1082	pop
1083	pop
1084	rock
1085	hip hop
1086	rap
1087	rap
1088	pop
1089	pop
1090	electro
1091	pop
1092	hip hop
1093	pop
1094	rock
1095	pop
1096	edm
1097	rap
1098	rock
1099	hip hop
1100	jazz
1101	hip hop
1102	hip hop
1103	rock
1104	rock
1105	rock
1106	latin
1107	dance
1108	rock
1109	hip hop
1110	country
1111	rock
1112	pop
1113	dance
1114	pop
1115	pop
1116	hip hop
1117	rock
1118	rock
1119	punk
1120	pop
1121	rock
1122	pop
1123	jazz
1124	hip hop
1125	soul
1126	rock
1127	rock
1128	dance
1129	rock
1130	rock
1131	rock
1132	techno
1133	punk
1134	jazz
1135	latin
1136	folk
1137	hip hop
1138	pop
1139	pop
1140	pop
1141	rock
1142	hip hop
1143	punk
1144	edm
1145	hip hop
1146	jazz
1147	rock
1148	rock
1149	jazz
1150	dance
1151	rock
1152	edm
1153	hip hop
1154	jazz
1155	hip hop
1156	rock
1157	rock
1158	hip hop
1159	hip hop
1160	rap
1161	hip hop
1162	dance
1163	pop
1164	rock
1165	jazz
1166	hip hop
1167	edm
1168	classical
1169	classical
1170	pop
1171	hip hop
1172	rock
1173	jazz
1174	rap
1175	edm
1176	rock
1177	edm
1178	techno
1179	rock
1180	jazz
1181	hip hop
1182	jazz
1183	jazz
1184	latin
1185	hip hop
1186	pop
1187	rock
1188	latin
1189	punk
1190	country
1191	edm
1192	hip hop
1193	pop
1194	hip hop
1195	hip hop
1196	techno
1197	hip hop
1198	jazz
1199	pop
1200	pop
1201	pop
1202	jazz
1203	country
1204	country
1205	hip hop
1206	hip hop
1207	techno
1208	pop
1209	pop
1210	techno
1211	pop
1212	rap
1213	pop
1214	edm
1215	country
1216	hip hop
1217	rock
1218	hip hop
1219	pop
1220	pop
1221	hip hop
1222	pop
1223	hip hop
1224	pop
1225	jazz
1226	hip hop
1227	pop
1228	rock
1229	edm
1230	jazz
1231	dance
1232	rock
1233	hip hop
1234	jazz
1235	jazz
1236	hip hop
1237	jazz
1238	punk
1239	hip hop
1240	hip hop
1241	edm
1242	metal
1243	rock
1244	rock
1245	folk
1246	jazz
1247	pop
1248	hip hop
1249	rock
1250	edm
1251	rock
1252	rock
1253	pop
1254	hip hop
1255	pop
1256	country
1257	country
1258	pop
1259	rock
1260	rock
1261	hip hop
1262	pop
1263	pop
1264	latin
1265	rock
1266	edm
1267	hip hop
1268	country
1269	punk
1270	pop
1271	jazz
1272	rock
1273	jazz
1274	classical
1275	pop
1276	pop
1277	rock
1278	folk
1279	rock
1280	rock
1281	pop
1282	hip hop
1283	jazz
1284	rock
1285	rock
1286	pop
1287	hip hop
1288	hip hop
1289	hip hop
1290	rock
1291	hip hop
1292	pop
1293	pop
1294	electro
1295	rock
1296	classical
1297	pop
1298	dance
1299	latin
1300	rap
1301	rock
1302	hip hop
1303	country
1304	edm
1305	country
1306	jazz
1307	dance
1308	rock
1309	country
1310	rock
1311	pop
1312	dance
1313	jazz
1314	edm
1315	edm
1316	pop
1317	pop
1318	jazz
1319	hip hop
1320	electro
1321	pop
1322	pop
1323	dance
1324	pop
1325	rock
1326	country
1327	pop
1328	country
1329	techno
1330	rock
1331	jazz
1332	pop
1333	rock
1334	hip hop
1335	rock
1336	disco
1337	rock
1338	pop
1339	pop
1340	electro
1341	country
1342	jazz
1343	dance
1344	classical
1345	pop
1346	techno
1347	jazz
1348	jazz
1349	pop
1350	rock
1351	pop
1352	rock
1353	pop
1354	hip hop
1355	dance
1356	jazz
1357	rock
1358	dance
1359	rock
1360	pop
1361	rock
1362	pop
1363	edm
1364	hip hop
1365	jazz
1366	rock
1367	jazz
1368	hip hop
1369	pop
1370	hip hop
1371	rock
1372	pop
1373	jazz
1374	rock
1375	country
1376	electro
1377	hip hop
1378	edm
1379	pop
1380	edm
1381	rock
1382	pop
1383	techno
1384	rock
1385	hip hop
1386	pop
1387	pop
1388	hip hop
1389	rock
1390	classical
1391	techno
1392	hip hop
1393	rock
1394	pop
1395	hip hop
1396	rock
1397	edm
1398	classical
1399	hip hop
1400	jazz
1401	classical
1402	edm
1403	pop
1404	edm
1405	country
1406	pop
1407	pop
1408	metal
1409	pop
1410	pop
1411	edm
1412	rock
1413	edm
1414	hip hop
1415	rock
1416	hip hop
1417	rock
1418	edm
1419	rock
1420	hip hop
1421	hip hop
1422	rock
1423	pop
1424	pop
1425	hip hop
1426	rock
1427	hip hop
1428	hip hop
1429	rock
1430	techno
1431	dance
1432	rock
1433	latin
1434	pop
1435	folk
1436	rock
1437	techno
1438	rock
1439	jazz
1440	metal
1441	hip hop
1442	metal
1443	rock
1444	rock
1445	pop
1446	rap
1447	latin
1448	pop
1449	rock
1450	hip hop
1451	hip hop
1452	metal
1453	country
1454	rap
1455	hip hop
1456	rock
1457	hip hop
1458	jazz
1459	jazz
1460	country
1461	rap
1462	pop
1463	jazz
1464	pop
1465	pop
1466	rock
1467	rock
1468	pop
1469	electro
1470	pop
1471	dance
1472	rock
1473	edm
1474	rock
1475	hip hop
1476	rock
1477	metal
1478	rock
1479	hip hop
1480	disco
1481	hip hop
1482	rap
1483	metal
1484	latin
1485	rock
1486	hip hop
1487	pop
1488	jazz
1489	pop
1490	techno
1491	hip hop
1492	pop
1493	hip hop
1494	pop
1495	jazz
1496	jazz
1497	pop
1498	country
1499	rock
1500	dance
1501	metal
1502	pop
1503	dance
1504	pop
1505	hip hop
1506	rock
1507	punk
1508	classical
1509	jazz
1510	rock
1511	dance
1512	rock
1513	rock
1514	electro
1515	pop
1516	hip hop
1517	techno
1518	jazz
1519	country
1520	rock
1521	hip hop
1522	pop
1523	rock
1524	rock
1525	disco
1526	jazz
1527	edm
1528	edm
1529	jazz
1530	rock
1531	edm
1532	hip hop
1533	rock
1534	hip hop
1535	rock
1536	edm
1537	hip hop
1538	hip hop
1539	rock
1540	rock
1541	rock
1542	rock
1543	rock
1544	pop
1545	soul
1546	jazz
1547	hip hop
1548	hip hop
1549	hip hop
1550	edm
1551	hip hop
1552	rock
1553	rock
1554	edm
1555	disco
1556	folk
1557	rock
1558	hip hop
1559	hip hop
1560	punk
1561	edm
1562	jazz
1563	rock
1564	pop
1565	pop
1566	hip hop
1567	edm
1568	rock
1569	pop
1570	pop
1571	edm
1572	rock
1573	rock
1574	pop
1575	jazz
1576	rock
1577	pop
1578	pop
1579	hip hop
1580	pop
1581	electro
1582	pop
1583	pop
1584	edm
1585	folk
1586	pop
1587	pop
1588	country
1589	rock
1590	metal
1591	pop
1592	dance
1593	hip hop
1594	pop
1595	rock
1596	edm
1597	hip hop
1598	rock
1599	jazz
1600	hip hop
1601	electro
1602	hip hop
1603	disco
1604	pop
1605	jazz
1606	hip hop
1607	hip hop
1608	techno
1609	jazz
1610	pop
1611	country
1612	rock
1613	rock
1614	pop
1615	pop
1616	jazz
1617	rap
1618	metal
1619	techno
1620	hip hop
1621	rock
1622	hip hop
1623	pop
1624	pop
1625	rock
1626	latin
1627	jazz
1628	punk
1629	jazz
1630	electro
1631	hip hop
1632	pop
1633	dance
1634	disco
1635	hip hop
1636	hip hop
1637	hip hop
1638	jazz
1639	hip hop
1640	jazz
1641	rock
1642	edm
1643	rock
1644	pop
1645	hip hop
1646	dance
1647	rock
1648	punk
1649	rock
1650	electro
1651	punk
1652	disco
1653	pop
1654	pop
1655	pop
1656	rock
1657	hip hop
1658	hip hop
1659	hip hop
1660	rock
1661	punk
1662	pop
1663	hip hop
1664	rock
1665	rock
1666	pop
1667	dance
1668	pop
1669	rock
1670	hip hop
1671	rock
1672	country
1673	hip hop
1674	pop
1675	hip hop
1676	rock
1677	pop
1678	hip hop
1679	pop
1680	classical
1681	hip hop
1682	country
1683	pop
1684	jazz
1685	jazz
1686	pop
1687	dance
1688	rock
1689	rock
1690	hip hop
1691	pop
1692	rock
1693	rock
1694	rock
1695	country
1696	pop
1697	hip hop
1698	hip hop
1699	pop
1700	chanson
1701	dance
1702	edm
1703	reggae
1704	dance
1705	reggae
1706	rock
1707	pop
1708	pop
1709	rock
1710	punk
1711	jazz
1712	dance
1713	techno
1714	rock
1715	jazz
1716	hip hop
1717	metal
1718	hip hop
1719	rock
1720	blues
1721	rock
1722	dance
1723	jazz
1724	rock
1725	edm
1726	edm
1727	classical
1728	pop
1729	techno
1730	edm
1731	rock
1732	rock
1733	pop
1734	edm
1735	edm
1736	hip hop
1737	punk
1738	hip hop
1739	pop
1740	pop
1741	jazz
1742	hip hop
1743	hip hop
1744	hip hop
1745	edm
1746	punk
1747	pop
1748	pop
1749	hip hop
1750	techno
1751	hip hop
1752	hip hop
1753	disco
1754	punk
1755	pop
1756	pop
1757	dance
1758	pop
1759	hip hop
1760	rock
1761	pop
1762	pop
1763	metal
1764	rock
1765	rock
1766	rock
1767	jazz
1768	pop
1769	rock
1770	rap
1771	rock
1772	pop
1773	rock
1774	pop
1775	pop
1776	jazz
1777	jazz
1778	rock
1779	jazz
1780	hip hop
1781	hip hop
1782	hip hop
1783	rap
1784	jazz
1785	jazz
1786	electro
1787	disco
1788	rock
1789	rock
1790	pop
1791	pop
1792	rock
1793	hip hop
1794	jazz
1795	rock
1796	rock
1797	pop
1798	dance
1799	metal
1800	jazz
1801	hip hop
1802	reggae
1803	pop
1804	metal
1805	dance
1806	country
1807	techno
1808	hip hop
1809	pop
1810	hip hop
1811	jazz
1812	edm
1813	rock
1814	rock
1815	rock
1816	hip hop
1817	pop
1818	techno
1819	pop
1820	pop
1821	hip hop
1822	pop
1823	rock
1824	salsa
1825	edm
1826	hip hop
1827	pop
1828	electro
1829	hip hop
1830	hip hop
1831	edm
1832	rock
1833	hip hop
1834	pop
1835	pop
1836	rock
1837	pop
1838	rock
1839	country
1840	hip hop
1841	pop
1842	country
1843	latin
1844	rock
1845	jazz
1846	jazz
1847	rock
1848	disco
1849	rock
1850	jazz
1851	hip hop
1852	country
1853	hip hop
1854	rock
1855	hip hop
1856	rock
1857	punk
1858	pop
1859	edm
1860	rock
1861	rock
1862	country
1863	pop
1864	pop
1865	jazz
1866	metal
1867	pop
1868	pop
1869	pop
1870	reggae
1871	jazz
1872	rock
1873	rock
1874	jazz
1875	rock
1876	dance
1877	r&b
1878	jazz
1879	disco
1880	metal
1881	pop
1882	pop
1883	hip hop
1884	hip hop
1885	rock
1886	edm
1887	pop
1888	country
1889	hip hop
1890	hip hop
1891	rock
1892	pop
1893	edm
1894	disco
1895	dance
1896	rock
1897	jazz
1898	hip hop
1899	techno
1900	disco
1901	pop
1902	dance
1903	edm
1904	hip hop
1905	classical
1906	edm
1907	pop
1908	pop
1909	jazz
1910	edm
1911	rock
1912	hip hop
1913	rock
1914	rock
1915	rock
1916	rock
1917	pop
1918	rock
1919	hip hop
1920	jazz
1921	rap
1922	rock
1923	pop
1924	metal
1925	jazz
1926	rock
1927	dance
1928	hip hop
1929	hip hop
1930	edm
1931	rock
1932	edm
1933	rock
1934	jazz
1935	rock
1936	pop
1937	rock
1938	punk
1939	rock
1940	techno
1941	pop
1942	metal
1943	dance
1944	rock
1945	hip hop
1946	jazz
1947	jazz
1948	rock
1949	country
1950	latin
1951	rock
1952	rock
1953	rock
1954	rock
1955	edm
1956	hip hop
1957	electro
1958	rock
1959	electro
1960	jazz
1961	jazz
1962	rock
1963	pop
1964	jazz
1965	rock
1966	rock
1967	edm
1968	hip hop
1969	rock
1970	edm
1971	rock
1972	pop
1973	hip hop
1974	jazz
1975	folk
1976	pop
1977	hip hop
1978	hip hop
1979	pop
1980	hip hop
1981	pop
1982	hip hop
1983	pop
1984	metal
1985	pop
1986	pop
1987	hip hop
1988	chanson
1989	punk
1990	hip hop
1991	pop
1992	rock
1993	country
1994	rock
1995	folk
1996	country
1997	rock
1998	rock
1999	rock
2000	jazz
2001	edm
2002	hip hop
2003	rock
2004	hip hop
2005	electro
2006	punk
2007	hip hop
2008	edm
2009	hip hop
2010	jazz
2011	hip hop
2012	techno
2013	folk
2014	electro
2015	pop
2016	pop
2017	techno
2018	rock
2019	folk
2020	hip hop
2021	rock
2022	rock
2023	edm
2024	rock
2025	country
2026	disco
2027	country
2028	pop
2029	jazz
2030	pop
2031	chanson
2032	electro
2033	jazz
2034	jazz
2035	hip hop
2036	hip hop
2037	pop
2038	pop
2039	punk
2040	electro
2041	jazz
2042	pop
2043	rock
2044	hip hop
2045	techno
2046	jazz
2047	jazz
2048	jazz
2049	hip hop
2050	pop
2051	disco
2052	techno
2053	country
2054	rock
2055	hip hop
2056	jazz
2057	rock
2058	pop
2059	pop
2060	pop
2061	latin
2062	pop
2063	dance
2064	techno
2065	disco
2066	edm
2067	pop
2068	hip hop
2069	pop
2070	hip hop
2071	folk
2072	pop
2073	jazz
2074	electro
2075	latin
2076	techno
2077	hip hop
2078	rock
2079	pop
2080	pop
2081	pop
2082	hip hop
2083	jazz
2084	rock
2085	jazz
2086	rock
2087	country
2088	jazz
2089	pop
2090	rock
2091	hip hop
2092	pop
2093	pop
2094	hip hop
2095	chanson
2096	hip hop
2097	punk
2098	classical
2099	edm
2100	rock
2101	metal
2102	pop
2103	hip hop
2104	pop
2105	pop
2106	hip hop
2107	pop
2108	disco
2109	jazz
2110	hip hop
2111	rock
2112	pop
2113	pop
2114	pop
2115	pop
2116	hip hop
2117	jazz
2118	pop
2119	jazz
2120	edm
2121	jazz
2122	jazz
2123	pop
2124	pop
2125	pop
2126	country
2127	punk
2128	disco
2129	hip hop
2130	techno
2131	rock
2132	hip hop
2133	rock
2134	pop
2135	hip hop
2136	rock
2137	jazz
2138	hip hop
2139	electro
2140	hip hop
2141	pop
2142	pop
2143	hip hop
2144	rock
2145	rock
2146	edm
2147	techno
2148	pop
2149	jazz
2150	pop
2151	r&b
2152	rock
2153	rock
2154	jazz
2155	hip hop
2156	rock
2157	pop
2158	rock
2159	rock
2160	rock
2161	hip hop
2162	folk
2163	jazz
2164	rock
2165	country
2166	rap
2167	pop
2168	hip hop
2169	rock
2170	dance
2171	pop
2172	techno
2173	rock
2174	country
2175	punk
2176	folk
2177	pop
2178	techno
2179	jazz
2180	rap
2181	pop
2182	punk
2183	jazz
2184	jazz
2185	pop
2186	edm
2187	metal
2188	rock
2189	pop
2190	country
2191	latin
2192	jazz
2193	pop
2194	pop
2195	hip hop
2196	pop
2197	rock
2198	hip hop
2199	r&b
2200	disco
2201	rock
2202	electro
2203	hip hop
2204	rap
2205	hip hop
2206	pop
2207	rock
2208	rock
2209	hip hop
2210	folk
2211	edm
2212	punk
2213	rock
2214	rock
2215	pop
2216	hip hop
2217	pop
2218	pop
2219	metal
2220	edm
2221	rock
2222	hip hop
2223	techno
2224	rock
2225	rock
2226	hip hop
2227	rock
2228	jazz
2229	reggae
2230	hip hop
2231	pop
2232	rock
2233	pop
2234	rock
2235	techno
2236	country
2237	hip hop
2238	hip hop
2239	pop
2240	hip hop
2241	techno
2242	hip hop
2243	country
2244	pop
2245	jazz
2246	pop
2247	classical
2248	rock
2249	techno
2250	hip hop
2251	rock
2252	rock
2253	dance
2254	pop
2255	pop
2256	hip hop
2257	jazz
2258	hip hop
2259	pop
2260	country
2261	rock
2262	rock
2263	pop
2264	techno
2265	hip hop
2266	jazz
2267	jazz
2268	salsa
2269	reggae
2270	hip hop
2271	edm
2272	pop
2273	hip hop
2274	edm
2275	edm
2276	hip hop
2277	disco
2278	techno
2279	electro
2280	pop
2281	rock
2282	dance
2283	rock
2284	jazz
2285	rock
2286	rock
2287	edm
2288	country
2289	hip hop
2290	edm
2291	country
2292	techno
2293	rock
2294	hip hop
2295	hip hop
2296	punk
2297	dance
2298	jazz
2299	rock
2300	hip hop
2301	rap
2302	rock
2303	pop
2304	jazz
2305	pop
2306	pop
2307	rock
2308	rock
2309	hip hop
2310	rock
2311	classical
2312	dance
2313	edm
2314	jazz
2315	disco
2316	disco
2317	classical
2318	rock
2319	rock
2320	rock
2321	jazz
2322	edm
2323	hip hop
2324	electro
2325	pop
2326	pop
2327	rock
2328	pop
